date,price ($/MWh)
5/2/2021 3:00,17.6788
5/2/2021 3:05,16.7788
5/2/2021 3:10,17.0988
5/2/2021 3:15,17.1888
5/2/2021 3:20,17.1876
5/2/2021 3:25,17.6188
5/2/2021 3:30,17.716273
5/2/2021 3:35,17.470566
5/2/2021 3:40,17.775926
5/2/2021 3:45,18.321076
5/2/2021 3:50,18.321076
5/2/2021 3:55,19.130336
5/2/2021 4:00,22.268393
5/2/2021 4:05,23.181916
5/2/2021 4:10,25.57763
5/2/2021 4:15,24.564986
5/2/2021 4:20,24.564986
5/2/2021 4:25,25.598076
5/2/2021 4:30,26.086166
5/2/2021 4:35,27.201266
5/2/2021 4:40,28.11939
5/2/2021 4:45,27.9835
5/2/2021 4:50,28.28077
5/2/2021 4:55,27.808596
5/2/2021 5:00,26.0477
5/2/2021 5:05,25.94509
5/2/2021 5:10,24.604666
5/2/2021 5:15,25.13718
5/2/2021 5:20,25.81496
5/2/2021 5:25,25.13718
5/2/2021 5:30,25.582453
5/2/2021 5:35,25.995986
5/2/2021 5:40,25.582453
5/2/2021 5:45,25.811143
5/2/2021 5:50,25.585796
5/2/2021 5:55,26.040723
5/2/2021 6:00,27.245806
5/2/2021 6:05,27.877073
5/2/2021 6:10,25.543876
5/2/2021 6:15,27.284676
5/2/2021 6:20,24.606913
5/2/2021 6:25,24.203356
5/2/2021 6:30,17.985823
5/2/2021 6:35,15.80842
5/2/2021 6:40,14.70346
5/2/2021 6:45,12.29695
5/2/2021 6:50,8.19637
5/2/2021 6:55,5.12087
5/2/2021 7:00,17.088643
5/2/2021 7:05,17.121176
5/2/2021 7:10,15.767306
5/2/2021 7:15,-0.004746
5/2/2021 7:20,-0.010213
5/2/2021 7:25,-0.010426
5/2/2021 7:30,-0.010246
5/2/2021 7:35,-0.052256
5/2/2021 7:40,-5.666323
5/2/2021 7:45,-9.28529
5/2/2021 7:50,-9.37438
5/2/2021 7:55,-9.32684
5/2/2021 8:00,-0.051943
5/2/2021 8:05,-0.073233
5/2/2021 8:10,-5.251343
5/2/2021 8:15,-9.15688
5/2/2021 8:20,-9.56991
5/2/2021 8:25,-9.665793
5/2/2021 8:30,-9.47457
5/2/2021 8:35,-9.47457
5/2/2021 8:40,-9.47457
5/2/2021 8:45,-9.504753
5/2/2021 8:50,-9.504753
5/2/2021 8:55,-9.500136
5/2/2021 9:00,-9.70736
5/2/2021 9:05,-9.181993
5/2/2021 9:10,-0.01077
5/2/2021 9:15,-0.01
5/2/2021 9:20,-5.0424
5/2/2021 9:25,-9.342253
5/2/2021 9:30,-9.337826
5/2/2021 9:35,-9.342246
5/2/2021 9:40,-9.34517
5/2/2021 9:45,-9.36557
5/2/2021 9:50,-9.34517
5/2/2021 9:55,-9.371156
5/2/2021 10:00,-0.012793
5/2/2021 10:05,-0.010373
5/2/2021 10:10,-0.010436
5/2/2021 10:15,-0.060013
5/2/2021 10:20,-0.069373
5/2/2021 10:25,-5.01662
5/2/2021 10:30,-9.34625
5/2/2021 10:35,-9.34409
5/2/2021 10:40,-9.37979
5/2/2021 10:45,-9.371096
5/2/2021 10:50,-9.370786
5/2/2021 10:55,-9.371096
5/2/2021 11:00,-9.717873
5/2/2021 11:05,-9.71305
5/2/2021 11:10,-9.673446
5/2/2021 11:15,-9.659813
5/2/2021 11:20,-9.642116
5/2/2021 11:25,-9.659813
5/2/2021 11:30,-9.379463
5/2/2021 11:35,-9.370333
5/2/2021 11:40,-9.344806
5/2/2021 11:45,-9.36563
5/2/2021 11:50,-9.344806
5/2/2021 11:55,-9.37066
5/2/2021 12:00,-9.04425
5/2/2021 12:05,-9.454833
5/2/2021 12:10,-9.48086
5/2/2021 12:15,-9.55724
5/2/2021 12:20,-9.624603
5/2/2021 12:25,-9.622876
5/2/2021 12:30,-9.56836
5/2/2021 12:35,-9.50798
5/2/2021 12:40,-9.59267
5/2/2021 12:45,-9.623746
5/2/2021 12:50,-9.623746
5/2/2021 12:55,-9.461323
5/2/2021 13:00,-9.528236
5/2/2021 13:05,-9.085393
5/2/2021 13:10,-5.02766
5/2/2021 13:15,-9.104556
5/2/2021 13:20,-9.532
5/2/2021 13:25,-9.471086
5/2/2021 13:30,-9.146976
5/2/2021 13:35,-5.27634
5/2/2021 13:40,-0.46946
5/2/2021 13:45,-5.029316
5/2/2021 13:50,-5.039116
5/2/2021 13:55,-5.293483
5/2/2021 14:00,-0.0129
5/2/2021 14:05,-5.32346
5/2/2021 14:10,-3.99917
5/2/2021 14:15,-0.060163
5/2/2021 14:20,-0.069626
5/2/2021 14:25,-0.010643
5/2/2021 14:30,-0.010396
5/2/2021 14:35,-0.010346
5/2/2021 14:40,-0.010293
5/2/2021 14:45,-0.010413
5/2/2021 14:50,-0.010233
5/2/2021 14:55,-0.010243
5/2/2021 15:00,-0.010193
5/2/2021 15:05,-0.010196
5/2/2021 15:10,-0.010183
5/2/2021 15:15,1.966246
5/2/2021 15:20,5.038813
5/2/2021 15:25,5.32756
5/2/2021 15:30,3.57257
5/2/2021 15:35,0.69056
5/2/2021 15:40,-0.00872
5/2/2021 15:45,3.758783
5/2/2021 15:50,3.792863
5/2/2021 15:55,3.840033
5/2/2021 16:00,-0.010073
5/2/2021 16:05,-0.01013
5/2/2021 16:10,1.02717
5/2/2021 16:15,-0.010216
5/2/2021 16:20,-0.00947
5/2/2021 16:25,-0.009313
5/2/2021 16:30,7.245506
5/2/2021 16:35,7.087076
5/2/2021 16:40,7.43441
5/2/2021 16:45,10.80445
5/2/2021 16:50,11.085203
5/2/2021 16:55,10.955246
5/2/2021 17:00,6.481993
5/2/2021 17:05,6.482403
5/2/2021 17:10,6.604896
5/2/2021 17:15,7.551043
5/2/2021 17:20,7.691636
5/2/2021 17:25,8.50843
5/2/2021 17:30,14.297706
5/2/2021 17:35,13.95179
5/2/2021 17:40,17.097863
5/2/2021 17:45,25.560286
5/2/2021 17:50,29.133646
5/2/2021 17:55,23.1875
5/2/2021 18:00,18.396533
5/2/2021 18:05,19.176366
5/2/2021 18:10,20.494113
5/2/2021 18:15,24.921863
5/2/2021 18:20,28.951543
